paiment_id,acct_nbr,userid_nbr,payment_type_code,amt_12,conference_nbr,creditdebit_indx,debit_fi_acct_nbr,debit_fi_branch_nbr,debit_fi_nbr,filing_userid,mbr_fi_nbr,payment_on_acct,recipient_id,revenue_expense_transit_nbr,status_cd
300000,'12312312310002',710000798,300,0.00,300000,D,'9999997',1234,71,710000798,71,Y,300,1234,A
300001,'23200000000000',710000798,301,99999999.99,300001,D,'9999997',1234,71,710000798,71,Y,300,1234,A
300002,'23600000000000',710000798,302,15094566.17,300002,D,'9999997',1234,71,710000798,71,Y,300,1234,A
300003,'1234567892TQ0005',710000798,303,97808685.91,300003,D,'9999997',1234,71,710000798,71,Y,300,1234,A
300004,'889189189RT0001',710000798,304,10623090.94,300004,D,'9999997',1234,71,710000798,71,Y,300,1234,A
300005,'1001415987TQ0025',710000798,305,8817432.32,300005,D,'9999997',1234,71,710000798,71,Y,300,1234,A
300006,'1016212772IC0001',710000798,306,93303410.43,300006,D,'9999997',1234,71,710000798,71,Y,300,1234,A
300007,'108307307',710000798,307,25623644.61,300007,D,'9999997',1234,71,710000798,71,Y,300,1234,A
300008,'1021578386TQ0005',710000798,308,17321413.25,300008,D,'9999997',1234,71,710000798,71,Y,300,1234,A
300009,'111111118RT0001',710000798,309,74307284.68,300009,D,'9999997',1234,71,710000798,71,Y,300,1234,A
300010,'1001415987TQ0005',710000798,310,25045340.42,300010,D,'9999997',1234,71,710000798,71,Y,300,1234,A
300011,'9123456789PN0002',710000798,311,2538251.51,300011,D,'9999997',1234,71,710000798,71,Y,300,1234,A
300012,'12300000000000',710000798,312,4107006.57,300012,D,'9999997',1234,71,710000798,71,Y,300,1234,A
300013,'1234567892TQ0003',710000798,313,53941529.59,300013,D,'9999997',1234,71,710000798,71,Y,300,1234,A
300014,'1001415987TQ0009',710000798,314,28157372.86,300014,D,'9999997',1234,71,710000798,71,Y,300,1234,A
300015,'1211111115ST0101',710000798,315,31524793.67,300015,D,'9999997',1234,71,710000798,71,Y,300,1234,A
300016,'QUE-E-PAYMENT-NOTICE',710000798,316,20920640.18,300016,D,'9999997',1234,71,710000798,71,Y,300,1234,A
300017,'12300000000000',710000799,300,98508613.06,300017,D,'9999997',1234,71,710000799,71,Y,300,1234,A
300018,'23200000000000',710000799,301,20056449.27,300018,D,'9999997',1234,71,710000799,71,Y,300,1234,A
300019,'23600000000000',710000799,302,64629715.02,300019,D,'9999997',1234,71,710000799,71,Y,300,1234,A
300020,'1234567892TQ0005',710000799,303,98591676.87,300020,D,'9999997',1234,71,710000799,71,Y,300,1234,A
300021,'889189189RT0001',710000799,304,42320836.78,300021,D,'9999997',1234,71,710000799,71,Y,300,1234,A
300022,'1001415987TQ0025',710000799,305,29352482.17,300022,D,'9999997',1234,71,710000799,71,Y,300,1234,A
300023,'1016212772IC0001',710000799,306,95438618.04,300023,D,'9999997',1234,71,710000799,71,Y,300,1234,A
300024,'108307307',710000799,307,61776938.12,300024,D,'9999997',1234,71,710000799,71,Y,300,1234,A
300025,'1021578386TQ0005',710000799,308,29058189.22,300025,D,'9999997',1234,71,710000799,71,Y,300,1234,A
300026,'111111118RT0001',710000799,309,63394452.81,300026,D,'9999997',1234,71,710000799,71,Y,300,1234,A
300027,'1001415987TQ0005',710000799,310,13236809.45,300027,D,'9999997',1234,71,710000799,71,Y,300,1234,A
300028,'9123456789PN0002',710000799,311,60608859.04,300028,D,'9999997',1234,71,710000799,71,Y,300,1234,A
300029,'12300000000000',710000799,312,97838315.56,300029,D,'9999997',1234,71,710000799,71,Y,300,1234,A
300030,'1234567892TQ0003',710000799,313,78517825.63,300030,D,'9999997',1234,71,710000799,71,Y,300,1234,A
300031,'1001415987TQ0009',710000799,314,56087743.62,300031,D,'9999997',1234,71,710000799,71,Y,300,1234,A
300032,'1211111115ST0101',710000799,315,18455872.73,300032,D,'9999997',1234,71,710000799,71,Y,300,1234,A
300033,'QUE-E-PAYMENT-NOTICE',710000799,316,8385338.35,300033,D,'9999997',1234,71,710000799,71,Y,300,1234,A
