paiment_id,acct_nbr,userid_nbr,payment_type_code,amt_12,conference_nbr,creditdebit_indx,debit_fi_acct_nbr,debit_fi_branch_nbr,debit_fi_nbr,filing_userid,mbr_fi_nbr,payment_on_acct,recipient_id,revenue_expense_transit_nbr,status_cd
'350000', '787878784RP0001', '41068068', '11','99999999.99','350000', 'D', '5200122', '22202', '4', '41068068', '4', 'Y', '34', '22202', 'A',0:00:00
'350001', '123456782RP0011', '41068068', '12','66311279.24','350001', 'D', '5200122', '22202', '4', '41068068', '4', 'Y', '34', '22202', 'A',0:00:00
'350002', '111111111RD1111', '41068068', '22','1497596.82','350002', 'D', '5200122', '22202', '4', '41068068', '4', 'Y', '34', '22202', 'A',0:00:00
'350003', '123456782RT0010', '41068068', '34','2983812.76','350003', 'D', '5200122', '22202', '4', '41068068', '4', 'Y', '34', '22202', 'A',0:00:00
'350004', '787878784RP0001', '41068069', '11','36617151.54','350004', 'D', '5200122', '22202', '4', '41068069', '4', 'Y', '34', '22202', 'A',0:00:00
'350005', '123456782RP0011', '41068069', '12','55885972.01','350005', 'D', '5200122', '22202', '4', '41068069', '4', 'Y', '34', '22202', 'A',0:00:00
'350006', '111111111RD1111', '41068069', '22','27506245.81','350006', 'D', '5200122', '22202', '4', '41068069', '4', 'Y', '34', '22202', 'A',0:00:00
'350007', '123456782RT0010', '41068069', '34','17421895.63','350007', 'D', '5200122', '22202', '4', '41068069', '4', 'Y', '34', '22202', 'A',0:00:00
'350008', '787878784RP0001', '41068070', '11','30194722.06','350008', 'D', '5200122', '22202', '4', '41068070', '4', 'Y', '34', '22202', 'A',0:00:00
'350009', '123456782RP0011', '41068070', '12','13092520.68','350009', 'D', '5200122', '22202', '4', '41068070', '4', 'Y', '34', '22202', 'A',11:59:59
'350010', '111111111RD1111', '41068070', '22','2515428.51','350010', 'D', '5200122', '22202', '4', '41068070', '4', 'Y', '34', '22202', 'A',11:59:59
