paiment_id,acct_nbr,userid_nbr,payment_type_code,amt_12,conference_nbr,creditdebit_indx,debit_fi_acct_nbr,debit_fi_branch_nbr,debit_fi_nbr,filing_userid,mbr_fi_nbr,payment_on_acct,recipient_id,revenue_expense_transit_nbr,status_cd
'350000','12312312310002',710000798,300,'13946326.21','350000',D,'9999997',1234,71,710000798,71,Y,300,1234,A
'350001','23200000000000',710000798,301,'91599365.93','350001',D,'9999997',1234,71,710000798,71,Y,300,1234,A
'350002','23600000000000',710000798,302,'79661113.72','350002',D,'9999997',1234,71,710000798,71,Y,300,1234,A
'350003','1234567892TQ0005',710000798,303,'24936746.21','350003',D,'9999997',1234,71,710000798,71,Y,300,1234,A
'350004','889189189RT0001',710000798,304,'75979640.66','350004',D,'9999997',1234,71,710000798,71,Y,300,1234,A
'350005','1001415987TQ0025',710000798,305,'92447733.72','350005',D,'9999997',1234,71,710000798,71,Y,300,1234,A
'350006','1016212772IC0001',710000798,306,'58140001.54','350006',D,'9999997',1234,71,710000798,71,Y,300,1234,A
'350007','108307307',710000798,307,'30571870.24','350007',D,'9999997',1234,71,710000798,71,Y,300,1234,A
'350008','1021578386TQ0005',710000798,308,'92356241.67','350008',D,'9999997',1234,71,710000798,71,Y,300,1234,A
'350009','111111118RT0001',710000798,309,'70940228.08','350009',D,'9999997',1234,71,710000798,71,Y,300,1234,A
'350010','1001415987TQ0005',710000798,310,'22906829.54','350010',D,'9999997',1234,71,710000798,71,Y,300,1234,A
'350011','9123456789PN0002',710000798,311,'5165332.73','350011',D,'9999997',1234,71,710000798,71,Y,300,1234,A
'350012','12300000000000',710000798,312,'9715565.25','350012',D,'9999997',1234,71,710000798,71,Y,300,1234,A
'350013','1234567892TQ0003',710000798,313,'46379768.97','350013',D,'9999997',1234,71,710000798,71,Y,300,1234,A
'350014','1001415987TQ0009',710000798,314,'10559234.66','350014',D,'9999997',1234,71,710000798,71,Y,300,1234,A
'350015','1211111115ST0101',710000798,315,'5375116.72','350015',D,'9999997',1234,71,710000798,71,Y,300,1234,A
'350016','QUE-E-PAYMENT-NOTICE',710000798,316,'32582891.27','350016',D,'9999997',1234,71,710000798,71,Y,300,1234,A
'350017','12300000000000',710000799,300,'6004836.12','350017',D,'9999997',1234,71,710000799,71,Y,300,1234,A
'350018','23200000000000',710000799,301,'31530305.74','350018',D,'9999997',1234,71,710000799,71,Y,300,1234,A
'350019','23600000000000',710000799,302,'45844336.04','350019',D,'9999997',1234,71,710000799,71,Y,300,1234,A
'350020','1234567892TQ0005',710000799,303,'80819982.93','350020',D,'9999997',1234,71,710000799,71,Y,300,1234,A
'350021','889189189RT0001',710000799,304,'29671772.04','350021',D,'9999997',1234,71,710000799,71,Y,300,1234,A
'350022','1001415987TQ0025',710000799,305,'17195319.61','350022',D,'9999997',1234,71,710000799,71,Y,300,1234,A
'350023','1016212772IC0001',710000799,306,'57428893.03','350023',D,'9999997',1234,71,710000799,71,Y,300,1234,A
'350024','108307307',710000799,307,'35092316.89','350024',D,'9999997',1234,71,710000799,71,Y,300,1234,A
'350025','1021578386TQ0005',710000799,308,'78790416.73','350025',D,'9999997',1234,71,710000799,71,Y,300,1234,A
'350026','111111118RT0001',710000799,309,'2103555.67','350026',D,'9999997',1234,71,710000799,71,Y,300,1234,A
'350027','1001415987TQ0005',710000799,310,'53722975.59','350027',D,'9999997',1234,71,710000799,71,Y,300,1234,A
'350028','9123456789PN0002',710000799,311,'96039577.58','350028',D,'9999997',1234,71,710000799,71,Y,300,1234,A
'350029','12300000000000',710000799,312,'4423371.18','350029',D,'9999997',1234,71,710000799,71,Y,300,1234,A
'350030','1234567892TQ0003',710000799,313,'77226895.04','350030',D,'9999997',1234,71,710000799,71,Y,300,1234,A
'350031','1001415987TQ0009',710000799,314,'57325836.96','350031',D,'9999997',1234,71,710000799,71,Y,300,1234,A
'350032','1211111115ST0101',710000799,315,'54027442.71','350032',D,'9999997',1234,71,710000799,71,Y,300,1234,A
'350033','QUE-E-PAYMENT-NOTICE',710000799,316,'54556780.74','350033',D,'9999997',1234,71,710000799,71,Y,300,1234,A
